feature,feature_importance
right_knee_angle__c3__lag_3,0.0
right_knee_angle__c3__lag_2,1.223870512914377e-06
right_ankle_angle__time_reversal_asymmetry_statistic__lag_1,0.0
right_ankle_angle__last_location_of_maximum,0.008634322428689042
right_knee_angle__last_location_of_maximum,0.05511794245198552
right_knee_angle__agg_linear_trend__attr_"slope"__chunk_len_5__f_agg_"var",3.011158648175001e-06
right_knee_angle__fft_coefficient__attr_"imag"__coeff_76,0.037224368447165486
right_ankle_angle__fft_coefficient__attr_"imag"__coeff_47,0.002925362992527457
right_ankle_angle__maximum,0.010927475666690853
right_knee_angle__change_quantiles__f_agg_"var"__isabs_False__qh_1.0__ql_0.0,4.8827542865699766e-05
right_knee_angle__change_quantiles__f_agg_"var"__isabs_True__qh_1.0__ql_0.0,0.0004269131634801238
right_ankle_angle__agg_linear_trend__attr_"slope"__chunk_len_50__f_agg_"max",0.0010409104004947924
right_ankle_angle__agg_linear_trend__attr_"stderr"__chunk_len_10__f_agg_"var",0.0
right_ankle_angle__fft_coefficient__attr_"imag"__coeff_44,0.0006300072345060328
right_knee_angle__first_location_of_maximum,0.06163107039229638
right_ankle_angle__fft_coefficient__attr_"imag"__coeff_38,0.0001625843929039846
right_knee_angle__change_quantiles__f_agg_"mean"__isabs_True__qh_0.6__ql_0.0,0.00096086027322232
right_ankle_angle__change_quantiles__f_agg_"var"__isabs_False__qh_1.0__ql_0.6,0.0
right_knee_angle__change_quantiles__f_agg_"var"__isabs_False__qh_1.0__ql_0.4,0.00012808732022309338
right_knee_angle__change_quantiles__f_agg_"var"__isabs_False__qh_1.0__ql_0.2,8.469151514446431e-05
right_ankle_angle__change_quantiles__f_agg_"var"__isabs_False__qh_1.0__ql_0.0,0.0
right_ankle_angle__agg_linear_trend__attr_"stderr"__chunk_len_5__f_agg_"max",0.0007768902335551174
right_knee_angle__change_quantiles__f_agg_"var"__isabs_False__qh_1.0__ql_0.6,0.0005158027640666747
right_ankle_angle__change_quantiles__f_agg_"mean"__isabs_False__qh_1.0__ql_0.0,0.0009338789602528857
right_ankle_angle__mean_change,0.0004716541111414781
right_knee_angle__agg_linear_trend__attr_"slope"__chunk_len_10__f_agg_"var",0.00023444957701310623
right_ankle_angle__change_quantiles__f_agg_"var"__isabs_True__qh_1.0__ql_0.6,0.0
right_ankle_angle__agg_linear_trend__attr_"stderr"__chunk_len_10__f_agg_"max",0.011471184397252088
right_knee_angle__change_quantiles__f_agg_"mean"__isabs_True__qh_0.4__ql_0.0,0.0014349679411021193
right_knee_angle__agg_linear_trend__attr_"stderr"__chunk_len_5__f_agg_"max",0.0007200616432970112
right_ankle_angle__agg_linear_trend__attr_"stderr"__chunk_len_5__f_agg_"mean",0.00449442697504136
right_ankle_angle__change_quantiles__f_agg_"mean"__isabs_False__qh_1.0__ql_0.4,0.0067131296074025276
right_knee_angle__agg_linear_trend__attr_"stderr"__chunk_len_5__f_agg_"mean",0.0006145867690680544
right_ankle_angle__fft_coefficient__attr_"imag"__coeff_42,0.00046293296492852054
right_ankle_angle__variance,8.130538521629628e-06
right_ankle_angle__standard_deviation,0.0030216800729749404
right_ankle_angle__root_mean_square,0.004916426639962304
right_ankle_angle__change_quantiles__f_agg_"var"__isabs_False__qh_1.0__ql_0.4,0.0
left_hip_angle__agg_linear_trend__attr_"slope"__chunk_len_5__f_agg_"var",0.0
